remax_link,redfin_link,status,address,list_price,number_of_price_reductions,sale_price,sale_over_list,sq_ft,bed,bath,walk_time_to_phinney_ridge,walk_time_to_greenwood
https://www.remax.com/wa/seattle/home-details/9250-2nd-ave-nw-seattle-wa-98117/2537744068874353144/M00000650/1911250,https://www.redfin.com/WA/Seattle/9250-2nd-Ave-NW-98117/home/101310,Sold,9250 2ND AVE NW,695000,0,900000,1.294964029,1240,2,2,33,13
https://www.remax.com/wa/seattle/home-details/328-n-79th-st-seattle-wa-98103/11084391072986040842/M00000650/1902517,https://www.redfin.com/WA/Seattle/328-N-79th-St-98103/home/300419,Sold,328 N 79TH ST,899000,0,991777,1.103200222,1760,3,1,17,7
https://www.remax.com/wa/seattle/home-details/911-n-91st-st-seattle-wa-98103/585072479400839233/M00000650/1920814,https://www.redfin.com/WA/Seattle/911-N-91st-St-98103/home/99117,Sold,911 N 91ST ST,650000,0,739000,1.136923077,960,2,1,34,14
https://www.remax.com/wa/seattle/home-details/8730-2nd-ave-nw-seattle-wa-98117/1764469865453868148/M00000650/1921156,https://www.redfin.com/WA/Seattle/8730-2nd-Ave-NW-98117/home/100642,Sold,8730 2ND AVE NW,675000,0,821000,1.216296296,1090,3,1,30,8
https://www.remax.com/wa/seattle/home-details/138-nw-82nd-st-seattle-wa-98117/16650965872926563983/M00000650/1922274,https://www.redfin.com/WA/Seattle/138-NW-82nd-St-98117/home/495595,Sold,138 NW 82ND ST,819000,0,1200000,1.465201465,2240,2,1,23,7
,https://www.redfin.com/WA/Seattle/532-N-72nd-St-98103/home/300841,Sold,532 N 72ND ST,750000,0,982000,1.309333333,880,2,1,11,18
https://www.remax.com/wa/seattle/home-details/834-nw-92nd-st-seattle-wa-98117/4707648750818957105/M00000650/1924177,https://www.redfin.com/WA/Seattle/834-NW-92nd-St-98117/home/100195,Sold,834 NW 92ND ST,800000,2,815000,1.01875,2140,3,2,40,18
,https://www.redfin.com/WA/Seattle/302-NW-73rd-St-98117/home/495468,Sold,302 NW 73RD ST,900000,3,885000,0.9833333333,1240,3,3,16,18
https://www.remax.com/wa/seattle/home-details/926-n-93rd-st-seattle-wa-98103/6301474755543900316/M00000650/1925670,https://www.redfin.com/WA/Seattle/926-N-93rd-St-98103/home/99300,Sold,926 N 93RD ST,795000,0,800000,1.006289308,2820,4,2,37,16
https://www.remax.com/wa/seattle/home-details/8723-palatine-ave-n-seattle-wa-98103/13237766988148506800/M00000650/1919555,https://www.redfin.com/WA/Seattle/8723-Palatine-Ave-N-98103/home/100884,Sold,8723 PALATINE AVE N,799999,0,1055000,1.318751648,2560,3,1,27,5
https://www.remax.com/wa/seattle/home-details/907-n-67th-st-seattle-wa-98103/4952400190919135070/M00000650/1930318,https://www.redfin.com/WA/Seattle/907-N-67th-St-98103/home/301417,Sold,907 N 67TH ST,799950,0,905000,1.131320708,1960,2,2,12,27
https://www.remax.com/wa/seattle/home-details/8016-12th-ave-nw-seattle-wa-98117/13579937546892855778/M00000650/1930805,https://www.redfin.com/WA/Seattle/8016-12th-Ave-NW-98117/home/496320,Sold,8016 12TH AVE NW,895000,0,1223000,1.366480447,1950,4,2,32,19
https://www.remax.com/wa/seattle/home-details/353-nw-89th-st-seattle-wa-98117/4059646633177947705/M00000650/1930170,https://www.redfin.com/WA/Seattle/353-NW-89th-St-98117/home/100567,Sold,353 NW 89TH ST,915000,1,915000,1,1870,3,2,34,12
https://www.remax.com/wa/seattle/home-details/724-n-102nd-st-seattle-wa-98133/15483322841108452682/M00000650/1935809,https://www.redfin.com/WA/Seattle/724-N-102nd-St-98133/home/98901,Sold,724 N 102ND ST,845000,0,1150000,1.360946746,1420,3,2,44,22
https://www.remax.com/wa/seattle/home-details/8207-fremont-ave-n-seattle-wa-98103/15067286386937220372/M00000650/1939664,https://www.redfin.com/WA/Seattle/8207-Fremont-Ave-N-98103/home/300690,Sold,8207 FREMONT AVE N,850000,0,976200,1.148470588,940,3,1,22,8
https://www.remax.com/wa/seattle/home-details/9108-fremont-ave-n-seattle-wa-98103/18088968769872314011/M00000650/1941144,https://www.redfin.com/WA/Seattle/9108-Fremont-Ave-N-98103/home/99648,Pending,9108 FREMONT AVE N,799950,0,,,1910,3,2,31,11
https://www.remax.com/wa/seattle/home-details/9217-4th-ave-nw-seattle-wa-98117/4377435648608380461/M00000650/1937331,https://www.redfin.com/WA/Seattle/9217-4th-Ave-NW-98117/home/101202,Listed,9217 4TH AVE NW,849000,1,,,1570,3,2,36,14
,https://www.redfin.com/WA/Seattle/719-N-74th-St-98103/home/301729,Pending,719 N 74th St,925000,0,,,1400,3,2,15,18
https://www.remax.com/wa/seattle/home-details/927-n-78th-st-seattle-wa-98103/8546198045209849812/M00000650/1944255,https://www.redfin.com/WA/Seattle/927-N-78th-St-98103/home/300206,Pending,927 N 78TH ST,895000,0,,,2010,3,1,22,17
,https://www.redfin.com/WA/Seattle/9548-Wallingford-Ave-N-98103/home/105354,Sold,9548 Wallingford Ave N,899950,0,930000,1.033390744,1250,3,1,46,30
,https://www.redfin.com/WA/Seattle/8502-Interlake-Ave-N-98103/home/104924,Pending,8502 Interlake Ave N,850000,1,,,1800,4,2,35,16
,https://www.redfin.com/WA/Seattle/10059-Interlake-Ave-N-98133/home/104531,Pending,10059 Interlake Avenue N,649000,0,,,750,3,1,50,31
,https://www.redfin.com/WA/Seattle/9749-Woodlawn-Ave-N-98103/home/104300,Listed,9749 Woodlawn Avenue N,850000,1,,,1870,3,3.5,49,30
,https://www.redfin.com/WA/Seattle/1130-N-82nd-St-98103/home/306681,Listed,1130 N 82nd Street,853000,3,,,1800,2,2,30,15
,https://www.redfin.com/WA/Seattle/8526-16th-Ave-NW-98117/home/101323,Listed,8526 16th Avenue NW,789000,1,,,1270,3,2,44,22
,https://www.redfin.com/WA/Seattle/322-NW-49th-St-98107/home/302118,Pending,322 NW 49th Street,725000,0,,,1530,3,1,26,45
,https://www.redfin.com/WA/Seattle/108-NW-87th-St-98117/home/101245,Listed,108 NW 87th Street,945000,0,,,1480,3,2,28,6
,https://www.redfin.com/WA/Seattle/337-NW-81st-St-98117/home/497945,Pending,337 NW 81st Street,675000,0,,,850,2,1,24,11
,https://www.redfin.com/WA/Seattle/946-N-78th-St-98103/home/300715,Listed,946 N 78th Street,998990,0,,,1960,3,2,23,18
,https://www.redfin.com/WA/Seattle/9037-7th-Ave-NW-98117/home/100641,Pending,9037 7th Avenue NW,757000,0,,,1000,3,2,37,15
,https://www.redfin.com/WA/Seattle/7020-5th-Ave-NW-98117/home/494996,Pending,7020 5th Avenue NW,700000,0,,,910,2,2,16,22
,https://www.redfin.com/WA/Seattle/101-NW-101st-St-98177/home/101055,Pending,101 NW 101st Street,899999,0,,,1740,3,2,40,18
,https://www.redfin.com/WA/Seattle/9747-1st-Ave-NW-98117/home/99950,Pending,9747 1st Avenue NW,849000,0,,,1790,3,2,38,16
,https://www.redfin.com/WA/Seattle/6547-11th-Ave-NW-98117/home/495189,Listed,6547 11th Avenue NW,795000,0,,,860,2,1,21,35
,https://www.redfin.com/WA/Seattle/6228-7th-Ave-NW-98107/home/494084,Listed,6228 7th Avenue NW,725000,0,,,1240,2,2,15,33